Crt.                 Node                 Father               Sibling             
1                    S                    0                    0                   
2                    A                    1                    0                   
3                    B                    1                    2                   
4                    C                    3                    0                   
5                    D                    3                    4                   
6                    a                    5                    0                   
7                    C                    4                    0                   
8                    D                    4                    7                   
9                    *                    4                    8                   
10                   )                    8                    0                   
11                   S                    8                    10                  
12                   (                    8                    11                  
13                   A                    11                   0                   
14                   B                    11                   13                  
15                   C                    14                   0                   
16                   D                    14                   15                  
17                   a                    16                   0                   
18                   epsilon              15                   0                   
19                   A                    13                   0                   
20                   B                    13                   19                  
21                   +                    13                   20                  
22                   C                    20                   0                   
23                   D                    20                   22                  
24                   a                    23                   0                   
25                   epsilon              22                   0                   
26                   epsilon              19                   0                   
27                   epsilon              7                    0                   
28                   epsilon              2                    0                   
